name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Dortmund,2018-07-13,26.1,13,19.7,26.1,13,19.7,13.3,70.4,0,0,0,,,,,9.5,254.5,,12.3,9.8,272.6,23.4,8,,2018-07-13T05:28:06,2018-07-13T21:43:05,0,Clear,Clear conditions throughout the day.,clear-day,"10416099999,10400099999,EDDG,EDDL,EDLW,AS204"
Dortmund,2018-07-14,26,13.1,20.2,26,13.1,20.2,12.8,65.4,0,0,0,,,,,12.9,106.5,,12.4,9.8,269.2,23.4,8,,2018-07-14T05:29:14,2018-07-14T21:42:09,0.01,Clear,Clear conditions throughout the day.,clear-day,"10416099999,10400099999,EDDG,EDDL,EDLW,AS204"
Dortmund,2018-07-15,27,13,20.5,26.4,13,20.4,10.1,56,0,0,0,,,,,13.1,55.6,,0,10,283,24.3,8,,2018-07-15T05:30:24,2018-07-15T21:41:10,0.04,Clear,Clear conditions throughout the day.,clear-day,"10416099999,10400099999,EDDG,EDDL,EDLW,AS204"
Dortmund,2018-07-16,29.1,12.1,22.1,27.7,12.1,21.8,9.7,49.1,0,0,0,,,,,11.1,143.1,,0,10,268.6,23.2,8,,2018-07-16T05:31:35,2018-07-16T21:40:09,0.08,Clear,Clear conditions throughout the day.,clear-day,"10416099999,10400099999,EDDG,EDDL,EDLW,AS204"
Dortmund,2018-07-17,29,15.1,23,28.2,15.1,22.8,12.2,52.8,0.3,100,12.5,rain,,,37.1,16.8,233.5,,4.8,10,229.3,19.9,8,,2018-07-17T05:32:48,2018-07-17T21:39:05,0.13,Rain,Clear conditions throughout the day with afternoon rain.,rain,"10416099999,10400099999,EDDG,EDDL,EDLW,AS204"
Dortmund,2018-07-18,26,12,20.3,26,12,20.3,10.2,55.4,0,0,0,,,,33.5,11,222.9,,6.2,10,207.5,17.9,7,,2018-07-18T05:34:03,2018-07-18T21:37:58,0.18,Clear,Clear conditions throughout the day.,clear-day,"10416099999,10400099999,EDDG,EDDL,EDLW,AS204"
Dortmund,2018-07-19,28,14,21.6,27.1,14,21.5,9.7,49.5,0,0,0,,,,,14.6,151.6,,4.8,10,201.3,17.3,8,,2018-07-19T05:35:19,2018-07-19T21:36:49,0.23,Clear,Clear conditions throughout the day.,clear-day,"10416099999,10400099999,EDDG,EDDL,EDLW,AS204"
Dortmund,2018-07-20,30,14,22.7,28.5,14,22.4,10.6,49.5,0,0,0,,,,,11.2,206.4,,6.2,10,236.4,20.5,7,,2018-07-20T05:36:37,2018-07-20T21:35:38,0.28,Clear,Clear conditions throughout the day.,clear-day,"10416099999,10400099999,EDDG,D5453,EDDL,EDLW,AS204"
Dortmund,2018-07-21,28.1,17,21.3,27.7,17,21.3,14.2,65.9,0.8,100,20.83,rain,,,,14.4,192.6,,25.9,10,163,14.2,7,,2018-07-21T05:37:56,2018-07-21T21:34:24,0.34,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"10416099999,10400099999,EDDG,EDDL,EDLW,AS204"
Dortmund,2018-07-22,27,15.1,21.4,27,15.1,21.4,14.5,67.4,0,0,0,,,,,16.4,257.9,,14.3,9.9,174,15,8,,2018-07-22T05:39:16,2018-07-22T21:33:08,0.38,Clear,Clear conditions throughout the day.,clear-day,"10416099999,10400099999,EDDG,EDDL,EDLW,AS204"
Dortmund,2018-07-23,29.1,16,22.8,28.7,16,22.8,13.8,59.2,0,0,0,,,,,11,245.4,,15.1,10,222.9,19.2,8,,2018-07-23T05:40:37,2018-07-23T21:31:49,0.42,Clear,Clear conditions throughout the day.,clear-day,"10416099999,10400099999,EDDG,EDDL,EDLW,AS204"
Dortmund,2018-07-24,33.1,18,26,32,18,25.6,13.7,50.2,0,0,0,,,,,14.2,198.8,,3.6,10,253.3,21.9,8,,2018-07-24T05:42:00,2018-07-24T21:30:28,0.45,Clear,Clear conditions throughout the day.,clear-day,"10416099999,10400099999,EDDG,EDDL,EDLW,AS204"
